"","macro_group","specific_group"
"1","Baby food","Baby cereals and biscuits"
"2","Baby food","Baby desserts"
"3","Baby food","Baby dishes"
"4","Baby food","Baby milk and beverages"
"5","Beverages","Alcoholic beverages"
"6","Beverages","Non alcoholic beverages"
"7","Beverages","Water"
"8","Beverages","Coffee"
"9","Beverages","Tea"
"10","Cereal products","Breads and pastries"
"11","Cereal products","Breakfast cerals and biscuits"
"12","Cereal products","Cakes and pastries"
"13","Cereal products","Flours and pie crusts"
"14","Cereal products","Pasta  rice and grains"
"15","Cooking aids and ingredients","Other cooking aids  ingredients or seasoning"
"16","Cooking aids and ingredients","Sauces"
"17","Cooking aids and ingredients","Spices  herbs and salt"
"18","Eggs","Eggs"
"19","Fats","Animal fats"
"20","Fats","Butters and margarines"
"21","Fats","Vegetable oils and fats"
"22","Fish and seafood","Fish and fish based products"
"23","Fish and seafood","Seafood and seafood based products"
"24","Fruits, vegetables, legumes, nuts and seeds","Fruits"
"25","Fruits, vegetables, legumes, nuts and seeds","Legumes"
"26","Fruits, vegetables, legumes, nuts and seeds","Nuts and seeds"
"27","Fruits, vegetables, legumes, nuts and seeds","Vegetables"
"28","Ice creams and sorbets","Frozen desserts"
"29","Ice creams and sorbets","Ice creams"
"30","Ice creams and sorbets","Sorbets"
"31","Meat","Beef"
"32","Meat","Chicken"
"33","Meat","Duck"
"34","Meat","Lamb"
"35","Meat","Other mixed meat"
"36","Meat","Pork"
"37","Meat","Rabbit"
"38","Meat","Turkey"
"39","Meat","Veal"
"40","Milk and dairy","Cheese"
"41","Milk and dairy","Creams"
"42","Milk and dairy","Dairy"
"43","Milk and dairy","Milk"
"44","Starters and mixed dishes","Mixed dishes"
"45","Starters and mixed dishes","Mixed salads"
"46","Starters and mixed dishes","Pizzas  pies and crepes"
"47","Starters and mixed dishes","Sandwiches"
"48","Starters and mixed dishes","Savoury pastries and other starters"
"49","Starters and mixed dishes","Soups"
"50","Sweet products","Chocolate and chocolate products"
"51","Sweet products","Jams and related products"
"52","Sweet products","Non chocolate confectionery"
"53","Sweet products","Sugars and honeys"
